,pregunta
0,Q1 Explain the difference between supervised and unsupervised machine  learning
1,What are the parametric models
2,What is the difference between classification and regression
3,"What Is Overfitting, and How Can You Avoid It"
4,What is meant by ‘Training set’ and ‘Test Set’
5,How Do You Handle Missing or Corrupted Data in a Dataset
6,"Explain Ensemble learning. 
In ensemble learning, many base models like classifiers and regressors are generated and  combined together so that they give better results. It is used when we build component  classifiers that are accurate and independent. There are sequential as well as parallel ensemble  methods. "
7,"Explain the Bias-Variance Tradeoff.  
Predictive models have a tradeoff between bias (how well the model fits the data) and variance  (how much the model changes based on changes in the inputs).  
Simpler models are stable (low variance) but they don't get close to the truth (high bias).  More complex models are more prone to overfitting (high variance) but they are expressive  enough to get close to the truth (low bias). The best model for a given problem usually lies  somewhere in the middle. "
8,What is the difference between stochastic gradient descent (SGD) and  gradient descent (GD)
9,How Can You Choose a Classifier Based on a Training Set Data Size
10,What are 3 data preprocessing techniques to handle outliers
11,"How much data should you allocate for your training, validation, and test  sets"
12,What Is a False Positive and False Negative and How Are They Significant
13,"Explain the difference between L1 and L2 regularization. 
L2 regularization tends to spread error among all the terms, while L1 is more binary/sparse, with  many variables either being assigned a 1 or 0 in weighting. L1 corresponds to setting a  Laplacean prior to the terms, while L2 corresponds to a Gaussian prior. "
14,What’s a Fourier transform
15,"What is deep learning, and how does it contrast with other machine learning  algorithms"
16,What’s the difference between a generative and discriminative model
17,What Are the Applications of Supervised Machine Learning in Modern  Businesses
18,What Is Semi-supervised Machine Learning
19,20. What Are Unsupervised Machine Learning Techniques
20,What Is ‘naive’ in the Naive Bayes Classifier
21,"Explain Latent Dirichlet Allocation (LDA).  
Latent Dirichlet Allocation (LDA) is a common method of topic modeling, or classifying  documents by subject matter.  
LDA is a generative model that represents documents as a mixture of topics that each have  their own probability distribution of possible words.  
The ""Dirichlet"" distribution is simply a distribution of distributions. In LDA, document s are distributions of topics that are distributions of words. "
22,"Explain Principle Component Analysis (PCA).  
PCA is a method for transforming features in a dataset by combining them into uncorrelated  linear combinations.  
These new features, or principal components, sequentially maximize the variance represented  (i.e. the first principal component has the most variance, the second principal component has  the second most, and so on).  
As a result, PCA is useful for dimensionality reduction because you can set an arbitrary  variance cutoff. "
23,What’s the F1 score
24,When should you use classification over regression
25,How do you ensure you’re not overfitting with a model
26,How Will You Know Which Machine Learning Algorithm to Choose for Your  Classification Problem
27,How Do You Design an Email Spam Filter
28,What evaluation approaches would you work to gauge the effectiveness of a  machine learning model
29,How would you implement a recommendation system for our company’s  users
30,"Explain bagging.  
Bagging, or Bootstrap Aggregating, is an ensemble method in which the dataset is first divided  into multiple subsets through resampling.  
Then, each subset is used to train a model, and the final predictions are made through voting or  averaging the component models.  
Bagging is performed in parallel. "
31,What is the ROC Curve and what is AUC (a.k.a. AUROC)
32,Why is Area Under ROC Curve (AUROC) better than raw accuracy as an  out-of-sample evaluation metric
33,What are the advantages and disadvantages of neural networks
