,Unnamed: 0,operation,property_type,place_name,place_with_parent_names,country_name,state_name,geonames_id,lat-lon,lat,lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url,description,title,image_thumbnail
96,96,sell,apartment,San Bernardo,|Argentina|Buenos Aires Costa Atlántica|San Bernardo|,Argentina,Buenos Aires Costa Atlántica,3429228.0,"-36.6806689,-56.6774832",-36.6806689,-56.677483200000005,54000.0,USD,952803.0,54000.0,75.0,30.0,720.0,1800.0,3.0,2.0,800.0,http://www.properati.com.ar/15c0x_venta_departamento_san-bernardo_balcon_lavadero_parrilla_terraza_vista_placard_distefano-propiedades-casa-central,"Departamento de 2 ambientes, ubicado en la costanera al 3300 entre las calle Obligado y Frias, piso 3 al frente por escalera, a metros del mar y 500 metros de Av San Bernardo (lado norte).Esta propiedad consta de estar cocina comedor integrado, baño y balcon lateral vista al mar en su planta baja y en la planta superior tiene el dormitorio con placard empotrado con salida a gran terraza propia con lavadero y parrilla y una ESPECTACULAR VISTA AL MAR.Se vende con muebles, muy buen estado generalVISITELO!!!!! -  - DISTEFANO SERVICIO INMOBILIARIO INTEGRAL",DEPARTAMENTO EN VENTA,https://thumbs4.properati.com/9/GbdfNPqf43VErcNxfn3srhG11Ag=/trim/198x0/smart/filters:strip_icc()/xintelweb.com/upload/DIT2609_2.jpg%3F1501532885
691,691,sell,PH,Belgrano,|Argentina|Capital Federal|Belgrano|,Argentina,Capital Federal,3436077.0,"-34.5666711,-58.4720061",-34.5666711,-58.4720061,152000.0,USD,2681964.0,152000.0,52.0,52.0,2923.076923076924,2923.076923076924,6.0,2.0,1800.0,http://www.properati.com.ar/15fqi_venta_ph_belgrano_washington_2432_luminoso_garage_santiago-jannot-capital,"Venta de Departamento 1 DORM en BELGRANO, Capital FederalSANTIAGO JANNOT PROP.  -  -  departamento totalmente reciclado hace 4 años. Todo externo. Excelentes placares. Baño con ventilación. Pisos de parquet tipo damero.Cochera fija descubierta. Posible segundo dormitorio.AVISO IMPORTANTE: LA OFERTA DE ESTE INMUEBLE ES A SOLO TÍTULO INFORMATIVO, PUES LA VENTA DE LA PROPIEDAD ESTA SUPEDITADA A QUE EL PROPIETARIO CUMPLIMENTE EL TRAMITE ANTE LA AFIP PARA LA OBTENCION DEL Nº DE COTI. -  - SANTIAGO JANNOT",PH EN VENTA,https://thumbs4.properati.com/7/MEz4_dEg2qrZaXjNs22F5bXPweM=/trim/198x0/smart/filters:strip_icc()/xintelweb.com/upload/JNT2137_2.jpg%3F1501533436
692,692,sell,PH,Belgrano,|Argentina|Capital Federal|Belgrano|,Argentina,Capital Federal,3436077.0,"-34.5666711,-58.4720061",-34.5666711,-58.4720061,152000.0,USD,2681964.0,152000.0,52.0,52.0,2923.076923076924,2923.076923076924,6.0,3.0,1800.0,http://www.properati.com.ar/15fqj_venta_ph_belgrano_washington_2432_luminoso_garage_santiago-jannot-capital,"Venta de Departamento 1 DORM en BELGRANO, Capital FederalSANTIAGO JANNOT PROP.  -  -  departamento totalmente reciclado hace 4 años. Todo externo. Excelentes placares. Baño con ventilación. Pisos de parquet tipo damero.Cochera fija descubierta. Posible segundo dormitorio.AVISO IMPORTANTE: LA OFERTA DE ESTE INMUEBLE ES A SOLO TÍTULO INFORMATIVO, PUES LA VENTA DE LA PROPIEDAD ESTA SUPEDITADA A QUE EL PROPIETARIO CUMPLIMENTE EL TRAMITE ANTE LA AFIP PARA LA OBTENCION DEL Nº DE COTI. -  - SANTIAGO JANNOT",PH EN VENTA,https://thumbs4.properati.com/6/FxryMiabZX3EGZKc7DqsPRJpy0A=/trim/198x0/smart/filters:strip_icc()/xintelweb.com/upload/jnt2343_2.jpg%3F1501533439
693,693,sell,PH,Belgrano,|Argentina|Capital Federal|Belgrano|,Argentina,Capital Federal,3436077.0,"-34.5666225,-58.4721291",-34.5666225,-58.4721291,152000.0,USD,2681964.0,152000.0,52.0,52.0,2923.076923076924,2923.076923076924,6.0,3.0,1800.0,http://www.properati.com.ar/15fqk_venta_ph_belgrano_washington_2432_luminoso_garage_santiago-jannot-capital,"Venta de Departamento 1 DORM en BELGRANO, Capital FederalSANTIAGO JANNOT PROP.  -  -  departamento totalmente reciclado hace 4 años. Todo externo. Excelentes placares. Baño con ventilación. Pisos de parquet tipo damero.Cochera fija descubierta. Posible segundo dormitorio.AVISO IMPORTANTE: LA OFERTA DE ESTE INMUEBLE ES A SOLO TÍTULO INFORMATIVO, PUES LA VENTA DE LA PROPIEDAD ESTA SUPEDITADA A QUE EL PROPIETARIO CUMPLIMENTE EL TRAMITE ANTE LA AFIP PARA LA OBTENCION DEL Nº DE COTI. -  - SANTIAGO JANNOT",PH EN VENTA,https://thumbs4.properati.com/0/fHtkOyhk8sPUhG4gLNpw63_8CqE=/trim/198x0/smart/filters:strip_icc()/xintelweb.com/upload/jnt2344_2.jpg%3F1501533439
694,694,sell,PH,Coghlan,|Argentina|Capital Federal|Coghlan|,Argentina,Capital Federal,3435359.0,"-34.5666643,-58.471989",-34.5666643,-58.471989,152000.0,USD,2681964.0,152000.0,52.0,52.0,2923.076923076924,2923.076923076924,6.0,2.0,1800.0,http://www.properati.com.ar/15fql_venta_ph_coghlan_washington_2432_luminoso_garage_santiago-jannot-capital,"Venta de Departamento 1 DORM en BELGRANO, Capital FederalSANTIAGO JANNOT PROP.  -  -  departamento totalmente reciclado hace 4 años. Todo externo. Excelentes plares. Baño con ventilación. Pisos de parquet tipo damero.Cochera fija descubierta. Posible segundo dormitorio.AVISO IMPORTANTE: LA OFERTA DE ESTE INMUEBLE ES A SOLO TÍTULO INFORMATIVO, PUES LA VENTA DE LA PROPIEDAD ESTA SUPEDITADA A QUE EL PROPIETARIO CUMPLIMENTE EL TRAMITE ANTE LA AFIP PARA LA OBTENCION DEL Nº DE COTI. -  - SANTIAGO JANNOT",PH EN VENTA,https://thumbs4.properati.com/4/ShIEdJrWC7sVZW4xLQm0fg6ofh4=/trim/198x0/smart/filters:strip_icc()/xintelweb.com/upload/jnt2345_2.jpg%3F1501533439
695,695,sell,PH,Coghlan,|Argentina|Capital Federal|Coghlan|,Argentina,Capital Federal,3435359.0,"-34.5666643,-58.471989",-34.5666643,-58.471989,152000.0,USD,2681964.0,152000.0,52.0,52.0,2923.076923076924,2923.076923076924,6.0,3.0,1800.0,http://www.properati.com.ar/15fqm_venta_ph_coghlan_washington_2432_luminoso_garage_santiago-jannot-capital,"Venta de Departamento 1 DORM en BELGRANO, Capital FederalSANTIAGO JANNOT PROP.  -  -  departamento totalmente reciclado hace 4 años. Todo externo. Excelentes placares. Baño con ventilación. Pisos de parquet tipo damero.Cochera fija descubierta. Posible segundo dormitorio.AVISO IMPORTANTE: LA OFERTA DE ESTE INMUEBLE ES A SOLO TÍTULO INFORMATIVO, PUES LA VENTA DE LA PROPIEDAD ESTA SUPEDITADA A QUE EL PROPIETARIO CUMPLIMENTE EL TRAMITE ANTE LA AFIP PARA LA OBTENCION DEL Nº DE COTI. -  - SANTIAGO JANNOT",PH EN VENTA,https://thumbs4.properati.com/2/VZkJPfRa7TZMHdlolwyN-yfT3fI=/trim/198x0/smart/filters:strip_icc()/xintelweb.com/upload/jnt2346_2.jpg%3F1501533439
746,746,sell,apartment,Caballito,|Argentina|Capital Federal|Caballito|,Argentina,Capital Federal,3435874.0,"-34.6259473144,-58.4328219442",-34.6259473144,-58.4328219442,158000.0,USD,2787831.0,158000.0,71.0,62.0,2225.3521126760565,2548.387096774193,2.0,3.0,2653.0,http://www.properati.com.ar/15fuz_venta_departamento_caballito_beauchef_700_baulera_lavadero_aire-acondicionado_subte-linea-e_rapisarda-propiedades,"Venta de Departamento 3 AMBIENTES en Caballito.Edificio de 8 pisos. 3 departamentos por piso. 1 ascensor. Unidad con entrada de servicio. Cocina independiente. Agua caliente por termotanque. Calefacción por estufas a gas. Aire acondicionado por split frío/calor (en dormitorio principal). Pisos alfombrados en living, parquet en dormitorios y cerámicos en cocina, lavadero y baño. Lavadero independiente. Baño completo. Baulera. Encargado con vivienda. -  - RAPISARDA PROPIEDADES",DEPARTAMENTO EN VENTA,https://thumbs4.properati.com/3/h1gX9EXOBTGm7F3aq91UyBsBAUg=/trim/198x0/smart/filters:strip_icc()/xintelweb.com/upload/rap725_2.jpg%3F1501534375
781,781,sell,apartment,Coghlan,|Argentina|Capital Federal|Coghlan|,Argentina,Capital Federal,3435359.0,"-34.5644671,-58.4723081",-34.5644671,-58.4723081,138000.0,USD,2434941.0,138000.0,66.0,56.0,2090.909090909091,2464.285714285714,7.0,2.0,2000.0,http://www.properati.com.ar/15fz1_venta_departamento_coghlan_garage_estrenar_mr-inmuebles_akd,"EXCELENTE DEPARTAMENTO SEMIPISO A ESTRENAR DE 2 AMBIENTES Muy luminoso DTO de 56m2 con balcón ATERRAZADO, al frente cocina integrada, pisos flotantes, baño completo con bañera.AMPLIO Y ESPACIOSO DORMITORIO PARA EXIGENTES CON 2 VENTANASÚNICO DEPARTAMENTO EN EL 7° PISO (NO TENES VECINOS) a pocos escalones de la Piscina y solarium.Encargado diurno, TODO EL FRENTE, Espacio guardacoches optativo. También hay dptos. de 3 amb.OPCIONAL COCHERA CUBIERTO  u$s 25.000. -  - M.P CONSULTORA",DEPARTAMENTO EN VENTA,https://thumbs4.properati.com/5/MC2Suvbof7XOdfh8T_jsbEyou50=/trim/198x0/smart/filters:strip_icc()/xintelweb.com/upload/PO9281_2.jpg%3F1501536377
1648,1648,sell,apartment,Balvanera,|Argentina|Capital Federal|Balvanera|,Argentina,Capital Federal,6693228.0,"-34.6056268,-58.392264",-34.6056268,-58.392264,146000.0,USD,2576097.0,146000.0,53.0,53.0,2754.716981132075,2754.716981132075,6.0,3.0,1400.0,http://www.properati.com.ar/15j4n_venta_departamento_balvanera_fragata-pres-sarmiento_1800_baulera_hidromasaje_terraza_luminoso_aire-acondicionado_mr-inmuebles_akd,"Venta de Departamento 3 AMBIENTES en Balvanera, Capital Federal Son 2 dormitorios (uno siendo utilizado como oficina con escritorio cajonera y mueble). Living comedor con cocina integrada. Todos los ambientes con ventanas al exterior, con muchos metros de distancia de vecinos!. Muy luminoso. Baulera de 3 m3. Amplio armario espejado en dormitorio principal. Lavasecarropas en baño  moderno con amplio espejo e hidromasaje. El edificio es antiguo, muy sólido, ancho de frente, lobby, escaleras, y paredes. El departamento es refaccionado a nuevo, moderno y muy luminoso, en excelente estado. No posee gas, todo electrico, instalación preparada para colocar aire acondicionado en cada dormitorio. Terraza amplia compartida pero muy poco uilizada, generalmente para tender ropa, es rápido acceso ya que se sube un piso por escalera. Expensas $ 1400.  Es de 53 M2 totales. La ubicación es excelente, a 1 cuadra de Av. Callao y Av. Corrientes (Subte linea B), 8 cuadras del Obelisco, también a 5 cuadras de Subte linea D (Callao), 3 cuadras Subte linea A (Congreso). -  - M.P CONSULTORA",DEPARTAMENTO EN VENTA,https://thumbs4.properati.com/3/WGt6FMI-03pV3nMVZ5uxctAir7Y=/trim/198x0/smart/filters:strip_icc()/xintelweb.com/upload/PO9286_2.jpg%3F1501536377
4829,4829,sell,apartment,Palermo,|Argentina|Capital Federal|Palermo|,Argentina,Capital Federal,3430234.0,"-34.5802991,-58.4355947",-34.580299100000005,-58.4355947,480000.0,USD,8469360.0,480000.0,188.0,143.0,2553.1914893617018,3356.643356643357,5.0,5.0,8000.0,http://www.properati.com.ar/15o8m_venta_departamento_palermo_nicaragua_5800_balcon_baulera_suite_parrilla_terraza_toilette_luminoso_dependencias_garage_losa-radiante_subte-linea-d_nexo-propiedades_b76,"Excelente oportunidad de compra de departamento triplex en pleno corazón de Palermo.- Los tres pisos constituyen un sólo Departamento. Tiene losa radiante en los tres pisos, caldera Independiente de doble circuito para Losa Radiante y Servicio Sanitario. Tiene baulera individual, en el 6to. Piso - dedicada al departamento, terraza Semicubierta con parrilla y balcón con parrilla. Tres habitaciones  ( Habitación Suite con baño) y una dependencia de servicio. Dos baños y un toilette. El valor de la expensas incluye (aprox. 9,500ARS)  baulera, cochera, Cable e internet. Muy Luminoso. Cómoda cocina a gas con horno. Edificio de 9 a 10 Años con seguridad de Circuito Cerrado por cámara conectada al servicio de cable. -  - NEXO PROPIEDADES",DEPARTAMENTO EN VENTA,https://thumbs4.properati.com/4/ENozlCYvsUVQJMpDr_JNU8eP66Y=/trim/198x0/smart/filters:strip_icc()/xintelweb.com/upload/nxp794_2.jpg%3F1501537854
