Date,price
2010-07-18,0.1
2010-07-28,0.1
2010-08-07,0.1
2010-08-17,0.1
2010-08-27,0.1
2010-09-06,0.1
2010-09-16,0.1
2010-09-26,0.1
2010-10-06,0.1
2010-10-16,0.1
2010-10-26,0.2
2010-11-05,0.3
2010-11-15,0.3
2010-11-25,0.3
2010-12-05,0.2
2010-12-15,0.2
2010-12-25,0.2
2011-01-04,0.3
2011-01-14,0.4
2011-01-24,0.4
2011-02-03,0.7
2011-02-13,1.0
2011-02-23,0.9
2011-03-05,0.9
2011-03-15,0.9
2011-03-25,0.9
2011-04-04,0.7
2011-04-14,1.0
2011-04-24,1.6
2011-05-04,3.4
2011-05-14,7.2
2011-05-24,7.4
2011-06-03,14.3
2011-06-13,19.8
2011-06-23,17.5
2011-07-03,15.4
2011-07-13,13.9
2011-07-23,13.7
2011-08-02,12.1
2011-08-12,9.5
2011-08-22,10.9
2011-09-01,8.2
2011-09-11,5.9
2011-09-21,5.6
2011-10-01,5.0
2011-10-11,3.9
2011-10-21,2.6
2011-10-31,3.3
2011-11-10,2.8
2011-11-20,2.2
2011-11-30,3.0
2011-12-10,3.0
2011-12-20,4.0
2011-12-30,4.3
2012-01-09,6.3
2012-01-19,6.4
2012-01-29,5.4
2012-02-08,5.6
2012-02-18,4.2
2012-02-28,4.9
2012-03-09,4.9
2012-03-19,4.7
2012-03-29,4.8
2012-04-08,4.8
2012-04-18,5.1
2012-04-28,5.0
2012-05-08,5.1
2012-05-18,5.1
2012-05-28,5.1
2012-06-07,5.6
2012-06-17,6.2
2012-06-27,6.7
2012-07-07,6.8
2012-07-17,8.8
2012-07-27,8.9
2012-08-06,10.9
2012-08-16,13.5
2012-08-26,10.6
2012-09-05,11.0
2012-09-15,11.8
2012-09-25,12.2
2012-10-05,12.7
2012-10-15,11.8
2012-10-25,10.9
2012-11-04,10.8
2012-11-14,10.9
2012-11-24,12.4
2012-12-04,13.4
2012-12-14,13.6
2012-12-24,13.4
2013-01-03,13.4
2013-01-13,14.1
2013-01-23,17.5
2013-02-02,19.6
2013-02-12,25.2
2013-02-22,30.3
2013-03-04,36.2
2013-03-14,47.2
2013-03-24,71.5
2013-04-03,135.0
2013-04-13,93.0
2013-04-23,143.5
2013-05-03,98.1
2013-05-13,118.0
2013-05-23,126.3
2013-06-02,122.5
2013-06-12,108.8
2013-06-22,108.2
2013-07-02,90.4
2013-07-12,94.0
2013-07-22,91.6
2013-08-01,104.0
2013-08-11,105.0
2013-08-21,123.3
2013-08-31,141.0
2013-09-10,132.6
2013-09-20,133.8
2013-09-30,141.9
2013-10-10,140.4
2013-10-20,186.1
2013-10-30,208.0
2013-11-09,367.8
2013-11-19,645.7
2013-11-29,1206.9
2013-12-09,919.0
2013-12-19,732.0
2013-12-29,785.0
2014-01-08,938.8
2014-01-18,905.7
2014-01-28,932.7
2014-02-07,695.7
2014-02-17,272.3
2014-02-27,596.5
2014-03-09,627.0
2014-03-19,595.0
2014-03-29,477.1
2014-04-08,466.6
2014-04-18,485.5
2014-04-28,441.9
