,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,venta_total,Date
0,536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-01 08:26:00,2.55,17850.0,United Kingdom,15.299999999999999,2010-12-01
530,536409,21823,PAINTED METAL HEART WITH HOLLY BELL,3,2010-12-01 11:45:00,1.45,17908.0,United Kingdom,4.35,2010-12-01
1060,536522,47504H,ENGLISH ROSE SPIRIT LEVEL ,1,2010-12-01 12:49:00,1.95,15012.0,United Kingdom,1.95,2010-12-01
1590,536544,22487,WHITE WOOD GARDEN PLANT LADDER,1,2010-12-01 14:32:00,20.38,,United Kingdom,20.38,2010-12-01
2120,536560,22418,10 COLOUR SPACEBOY PEN,96,2010-12-01 15:00:00,0.85,13093.0,United Kingdom,81.6,2010-12-01
2650,536592,22112,CHOCOLATE HOT WATER BOTTLE,3,2010-12-01 17:06:00,11.02,,United Kingdom,33.06,2010-12-01
3180,536607,21955,DOORMAT UNION JACK GUNS AND ROSES,2,2010-12-02 09:29:00,7.95,17732.0,United Kingdom,15.9,2010-12-02
3710,536643,22662,LUNCH BAG DOLLY GIRL DESIGN,2,2010-12-02 11:57:00,1.65,14390.0,United Kingdom,3.3,2010-12-02
4240,536754,22150,3 STRIPEY MICE FELTCRAFT,2,2010-12-02 14:09:00,1.95,14449.0,United Kingdom,3.9,2010-12-02
4770,536801,22113,GREY HEART HOT WATER BOTTLE,4,2010-12-02 16:12:00,3.75,,United Kingdom,15.0,2010-12-02
5300,536856,22468,BABUSHKA LIGHTS STRING OF 10,4,2010-12-03 10:26:00,6.75,13370.0,United Kingdom,27.0,2010-12-03
5830,536876,22314,OFFICE MUG WARMER CHOC+BLUE,1,2010-12-03 11:36:00,5.91,,United Kingdom,5.91,2010-12-03
6360,536885,22865,HAND WARMER OWL DESIGN,12,2010-12-03 11:42:00,2.1,,EIRE,25.200000000000003,2010-12-03
6890,536982,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,5,2010-12-03 14:27:00,6.77,,United Kingdom,33.849999999999994,2010-12-03
7420,537037,21485,RETROSPOT HEART HOT WATER BOTTLE,6,2010-12-05 10:03:00,4.95,17243.0,United Kingdom,29.700000000000003,2010-12-05
7950,537065,21892,TRADITIONAL WOODEN CATCH CUP GAME ,12,2010-12-05 11:57:00,1.25,12567.0,France,15.0,2010-12-05
8480,537136,21983,PACK OF 12 BLUE PAISLEY TISSUES ,12,2010-12-05 12:42:00,0.29,12748.0,United Kingdom,3.4799999999999995,2010-12-05
9010,537160,22553,PLASTERS IN TIN SKULLS,4,2010-12-05 13:18:00,1.65,14161.0,United Kingdom,6.6,2010-12-05
9540,537206,22114,HOT WATER BOTTLE TEA AND SYMPATHY,4,2010-12-05 15:02:00,3.95,15235.0,United Kingdom,15.8,2010-12-05
10070,537224,22157,ANGEL DECORATION WITH LACE PADDED,24,2010-12-05 16:24:00,0.85,13174.0,United Kingdom,20.4,2010-12-05
10600,537237,22729,ALARM CLOCK BAKELIKE ORANGE,1,2010-12-06 09:58:00,7.62,,United Kingdom,7.62,2010-12-06
11130,537240,21889,WOODEN BOX OF DOMINOES,4,2010-12-06 10:08:00,2.51,,United Kingdom,10.04,2010-12-06
