RUBRO;MOC_ZONAS_ID;AÑO;CUATRIMESTRE;NIVEL
BARES Y CAFES;161;2016;3;1
COMIDA AL PASO;161;2016;2;1
FERRETERIA Y CONSTRUCCION;161;2016;1;1
FERRETERIA Y CONSTRUCCION;161;2016;2;1
FERRETERIA Y CONSTRUCCION;161;2016;3;1
INDUMENTARIA;161;2016;1;1
INDUMENTARIA;161;2016;2;1
INSUMOS PARA EL HOGAR;161;2016;1;1
INSUMOS PARA EL HOGAR;161;2016;3;1
MUSICA Y LIBRERIA;161;2016;2;1
OPTICA Y JOYERIAS;161;2016;1;1
RESTAURANTES;161;2016;2;1
SALUD Y COSMETICA;161;2016;1;1
SALUD Y COSMETICA;161;2016;2;1
SUPERMERCADOS Y ALMACENES;161;2016;1;1
SUPERMERCADOS Y ALMACENES;161;2016;2;1
VETERINARIA;161;2016;1;1
BARES Y CAFES;160;2016;1;1
BARES Y CAFES;160;2016;2;1
BARES Y CAFES;160;2016;3;1
CARNES Y VERDURAS;160;2016;1;1
CARNES Y VERDURAS;160;2016;2;1
CARNES Y VERDURAS;160;2016;3;1
COMIDA AL PASO;160;2016;1;1
COMIDA AL PASO;160;2016;3;1
FERRETERIA Y CONSTRUCCION;160;2016;1;1
FERRETERIA Y CONSTRUCCION;160;2016;2;1
FERRETERIA Y CONSTRUCCION;160;2016;3;1
FIAMBRERIAS Y DIETETICAS;160;2016;1;1
FIAMBRERIAS Y DIETETICAS;160;2016;2;1
FIAMBRERIAS Y DIETETICAS;160;2016;3;1
INDUMENTARIA;160;2016;1;2
INDUMENTARIA;160;2016;2;1
INDUMENTARIA;160;2016;3;1
INSTITUCIONES DEPORTIVAS;160;2016;1;1
INSTITUCIONES DEPORTIVAS;160;2016;3;1
INSUMOS PARA EL HOGAR;160;2016;1;1
INSUMOS PARA EL HOGAR;160;2016;3;1
KIOSCOS Y LOTERIAS;160;2016;1;1
KIOSCOS Y LOTERIAS;160;2016;2;1
KIOSCOS Y LOTERIAS;160;2016;3;1
MUSICA Y LIBRERIA;160;2016;1;1
OPTICA Y JOYERIAS;160;2016;1;1
OPTICA Y JOYERIAS;160;2016;2;1
OPTICA Y JOYERIAS;160;2016;3;1
PANADERIAS;160;2016;2;1
RESTAURANTES;160;2016;1;1
RESTAURANTES;160;2016;2;1
RESTAURANTES;160;2016;3;1
SALUD Y COSMETICA;160;2016;1;2
SALUD Y COSMETICA;160;2016;2;2
SALUD Y COSMETICA;160;2016;3;1
SUPERMERCADOS Y ALMACENES;160;2016;1;1
SUPERMERCADOS Y ALMACENES;160;2016;2;1
SUPERMERCADOS Y ALMACENES;160;2016;3;1
TRATAMIENTOS ESTETICOS;160;2016;1;1
TRATAMIENTOS ESTETICOS;160;2016;2;1
TRATAMIENTOS ESTETICOS;160;2016;3;1
VETERINARIA;160;2016;1;1
VETERINARIA;160;2016;3;1
BARES Y CAFES;159;2016;1;1
BARES Y CAFES;159;2016;3;1
CARNES Y VERDURAS;159;2016;1;1
COMIDA AL PASO;159;2016;1;1
COMIDA AL PASO;159;2016;2;1
FERRETERIA Y CONSTRUCCION;159;2016;1;1
FERRETERIA Y CONSTRUCCION;159;2016;2;1
FERRETERIA Y CONSTRUCCION;159;2016;3;1
FIAMBRERIAS Y DIETETICAS;159;2016;1;1
FIAMBRERIAS Y DIETETICAS;159;2016;2;1
FIAMBRERIAS Y DIETETICAS;159;2016;3;1
INDUMENTARIA;159;2016;1;1
INDUMENTARIA;159;2016;2;1
INDUMENTARIA;159;2016;3;1
INSTITUCIONES DEPORTIVAS;159;2016;1;1
INSTITUCIONES DEPORTIVAS;159;2016;3;1
INSUMOS PARA EL HOGAR;159;2016;1;1
INSUMOS PARA EL HOGAR;159;2016;2;1
KIOSCOS Y LOTERIAS;159;2016;1;1
KIOSCOS Y LOTERIAS;159;2016;3;1
MUSICA Y LIBRERIA;159;2016;2;1
MUSICA Y LIBRERIA;159;2016;3;1
OPTICA Y JOYERIAS;159;2016;1;1
OPTICA Y JOYERIAS;159;2016;2;1
PANADERIAS;159;2016;1;1
RESTAURANTES;159;2016;1;1
RESTAURANTES;159;2016;2;1
SALUD Y COSMETICA;159;2016;1;2
SALUD Y COSMETICA;159;2016;2;3
SALUD Y COSMETICA;159;2016;3;1
SUPERMERCADOS Y ALMACENES;159;2016;1;1
SUPERMERCADOS Y ALMACENES;159;2016;3;1
TRATAMIENTOS ESTETICOS;159;2016;1;1
TRATAMIENTOS ESTETICOS;159;2016;2;1
VETERINARIA;159;2016;1;1
CARNES Y VERDURAS;158;2016;2;1
COMIDA AL PASO;158;2016;2;1
COMIDA AL PASO;158;2016;3;1
FERRETERIA Y CONSTRUCCION;158;2016;1;1
FERRETERIA Y CONSTRUCCION;158;2016;3;1
FIAMBRERIAS Y DIETETICAS;158;2016;1;1
FIAMBRERIAS Y DIETETICAS;158;2016;2;1
FIAMBRERIAS Y DIETETICAS;158;2016;3;1
INDUMENTARIA;158;2016;1;1
INDUMENTARIA;158;2016;2;1
