Period,OutletID,Code,Sales_category
210,3637,ITC,0.435
210,9247,ITC,0.435
210,10198,ITC,0.435
210,11554,ITC,2.18
211,3577,ITC,2.18
211,3587,ITC,1.09
211,3637,ITC,2.725
211,8681,ITC,10.345
211,8684,ITC,0.545
211,8685,ITC,1.635
211,8696,ITC,4.905
211,8697,ITC,1.09
211,8698,ITC,4.36
211,9064,ITC,0.545
211,9240,ITC,2.18
211,9247,ITC,10.345
211,10198,ITC,4.36
211,10569,ITC,0.545
211,10570,ITC,1.635
211,10572,ITC,1.09
211,10573,ITC,4.36
211,10597,ITC,0.545
211,11554,ITC,20.7
211,11647,ITC,2.18
211,12112,ITC,2.18
211,12113,ITC,1.09
211,12125,ITC,10.345
212,3577,ITC,2.18
212,3587,ITC,0.545
212,3637,ITC,1.09
212,8680,ITC,0.545
212,8681,ITC,10.895
212,8684,ITC,4.905
212,8685,ITC,0
212,8693,ITC,0.545
212,8696,ITC,3.27
212,8697,ITC,0
212,8698,ITC,6.54
212,9064,ITC,0
212,9240,ITC,1.635
212,9247,ITC,3.815
212,9266,ITC,2.18
212,10198,ITC,7.08
212,10568,ITC,0.545
212,10569,ITC,4.905
212,10570,ITC,0
212,10571,ITC,0.545
212,10572,ITC,0
212,10573,ITC,6.54
212,10597,ITC,0
212,11554,ITC,15.25
212,11647,ITC,1.635
212,12112,ITC,2.18
212,12113,ITC,0.545
212,12125,ITC,10.895
212,12127,ITC,2.18
213,3577,ITC,3.92
213,3587,ITC,0.435
213,3637,ITC,3.05
213,3638,ITC,0.435
213,8680,ITC,0.87
213,8681,ITC,12.635
213,8684,ITC,3.05
213,8685,ITC,0.435
213,8693,ITC,3.05
213,8696,ITC,2.175
213,8697,ITC,1.305
213,8698,ITC,3.92
213,9064,ITC,0
213,9240,ITC,3.05
213,9247,ITC,13.07
213,9266,ITC,1.305
213,10198,ITC,5.665
213,10568,ITC,0.87
213,10569,ITC,3.05
213,10570,ITC,0.435
213,10571,ITC,3.05
213,10572,ITC,1.305
213,10573,ITC,3.92
213,10597,ITC,0
213,11554,ITC,6.1
213,11647,ITC,2.615
213,12112,ITC,3.92
213,12113,ITC,0.435
213,12125,ITC,12.635
213,12127,ITC,1.305
214,3577,ITC,1.09
214,3587,ITC,0
214,3637,ITC,1.09
214,3638,ITC,0.545
214,8680,ITC,0
214,8681,ITC,15.25
214,8684,ITC,1.635
214,8685,ITC,1.635
214,8693,ITC,5.445
214,8696,ITC,3.27
214,8697,ITC,1.635
214,8698,ITC,5.45
214,9064,ITC,2.18
214,9240,ITC,7.625
214,9247,ITC,5.995
214,9266,ITC,1.635
214,10198,ITC,1.635
214,10568,ITC,0
214,10569,ITC,1.635
214,10570,ITC,1.635
214,10571,ITC,5.445
214,10572,ITC,1.635
214,10573,ITC,5.45
214,10597,ITC,2.18
214,11554,ITC,5.995
214,11647,ITC,2.18
214,12112,ITC,1.09
214,12113,ITC,0
214,12125,ITC,15.25
214,12127,ITC,1.635
215,3577,ITC,1.09
215,3587,ITC,1.09
215,3637,ITC,0.545
215,3638,ITC,2.18
215,8680,ITC,0.545
215,8681,ITC,10.89
215,8684,ITC,1.09
215,8685,ITC,1.09
215,8693,ITC,2.18
215,8696,ITC,0.545
215,8697,ITC,0
215,8698,ITC,8.715
215,9064,ITC,0.545
215,9240,ITC,5.445
215,9247,ITC,10.895
215,9266,ITC,3.815
215,10198,ITC,5.45
215,10568,ITC,0.545
215,10569,ITC,1.09
215,10570,ITC,1.09
215,10571,ITC,2.18
215,10572,ITC,0
215,10573,ITC,8.715
215,10597,ITC,0.545
215,11554,ITC,14.16
215,11647,ITC,1.09
215,12112,ITC,1.09
215,12113,ITC,1.09
215,12125,ITC,10.89
215,12127,ITC,3.815
216,3577,ITC,0.87
216,3587,ITC,3.485
216,3637,ITC,13.505
216,3638,ITC,2.175
216,8680,ITC,0.435
216,8681,ITC,28.32
216,8684,ITC,2.18
216,8685,ITC,2.615
216,8693,ITC,25.705
216,8696,ITC,33.545
216,8697,ITC,0.435
216,8698,ITC,23.09
216,9064,ITC,19.175
216,9240,ITC,8.715
216,9247,ITC,19.175
216,9266,ITC,15.25
216,10198,ITC,6.97
216,10568,ITC,0.435
216,10569,ITC,2.18
216,10570,ITC,2.615
216,10571,ITC,25.705
216,10572,ITC,0.435
216,10573,ITC,23.09
216,10597,ITC,19.175
216,11554,ITC,21.785
216,11647,ITC,2.175
216,12112,ITC,0.87
216,12113,ITC,3.485
216,12125,ITC,28.32
216,12127,ITC,15.25
217,3577,ITC,4.36
217,3587,ITC,15.795
217,3637,ITC,22.875
217,3638,ITC,5.99
217,8680,ITC,15.25
217,8681,ITC,8.17
217,8684,ITC,41.94
217,8685,ITC,9.26
217,8693,ITC,10.345
217,8696,ITC,7.08
217,8697,ITC,3.27
217,8698,ITC,7.08
217,9064,ITC,2.725
217,9240,ITC,3.815
217,9247,ITC,33.765
217,9266,ITC,10.35
217,10198,ITC,5.995
217,10568,ITC,15.25
217,10569,ITC,41.94
217,10570,ITC,9.26
217,10571,ITC,10.345
217,10572,ITC,3.27
217,10573,ITC,7.08
217,10597,ITC,2.725
217,11554,ITC,16.885
217,11647,ITC,37.58
217,12112,ITC,4.36
217,12113,ITC,15.795
217,12125,ITC,8.17
217,12127,ITC,10.35
218,3577,ITC,16.885
218,3587,ITC,0
218,3637,ITC,0
218,3638,ITC,7.08
218,8680,ITC,1.09
218,8681,ITC,0
218,8684,ITC,0
218,8685,ITC,5.445
218,8693,ITC,2.725
218,8696,ITC,8.17
218,8697,ITC,23.42
218,8698,ITC,0
218,9064,ITC,2.18
218,9240,ITC,2.725
218,9247,ITC,7.08
218,9266,ITC,0
218,10198,ITC,8.17
218,10568,ITC,1.09
218,10569,ITC,0
218,10570,ITC,5.445
218,10571,ITC,2.725
218,10572,ITC,23.42
218,10573,ITC,0
218,10597,ITC,2.18
218,11554,ITC,0
218,11647,ITC,0
218,12112,ITC,16.885
218,12113,ITC,0
218,12125,ITC,0
218,12127,ITC,0
219,3577,ITC,0
219,3587,ITC,0
219,3637,ITC,0
219,3638,ITC,0.435
219,8680,ITC,0
219,8681,ITC,0
219,8684,ITC,0
219,8685,ITC,0
219,8693,ITC,0
219,8696,ITC,2.18
219,8697,ITC,0
219,8698,ITC,0
219,9064,ITC,0.435
219,9240,ITC,0
219,9247,ITC,0
219,9266,ITC,0
219,10198,ITC,0
219,10568,ITC,0
219,10569,ITC,0
219,10570,ITC,0
219,10571,ITC,0
219,10572,ITC,0
219,10573,ITC,0
219,10597,ITC,0.435
219,11554,ITC,0
219,11647,ITC,0
219,12112,ITC,0
219,12113,ITC,0
219,12125,ITC,0
219,12127,ITC,0
