fecha,detalle,cat,monto
08.10.21,JUMBO C.11/12,ant,"6.964,87"
02.12.21,ICBC STORE C.09/09,ant,"243,94"
03.12.21,EASY.COM.AR C.09/12,ant,"83,33"
26.12.21,SHERATON PILAR C.09/12,ant,"6.139,16"
12.01.22,COTO,ant,"4.449,83"
21.03.22,ICBCSTORE C.06/09,ant,"570,94"
04.07.22,COTO,ant,"2.209,66"
20.07.22,ABOGADO C.02/06,ant,"15.806,72"
20.07.22,ADDNICE C.02/03,ant,"3.666,66"
20.07.22,ADDNICE C.02/03,ant,"3.999,66"
28.07.22,CLUB,c,"4.640,00"
29.07.22,SHI PIN,c,"1.239,00"
29.07.22,DIA,v,"1.752,12"
29.07.22,CLUBMILANESA,c,"4.115,00"
30.07.22,EL FUNDADOR,c,"1.300,00"
30.07.22,LE CHARCUTIER,v,"2.783,00"
31.07.22,PORTERS,c,"2.100,00"
31.07.22,DIA,v,"1.352,40"
03.08.22,KOSTENSUESS,p,"150,00"
03.08.22,PORTERS,c,"2.000,00"
03.08.22,COTO,v,"1.874,18"
03.08.22,CLUB,c,"3.170,00"
04.08.22,SUBE,p,"500,00"
04.08.22,CINEMARK,o,"1.660,00"
05.08.22,MOVISTAR,p,"2.429,99"
05.08.22,UBER,m,"680,00"
05.08.22,UBER,m,"460,00"
05.08.22,SHI PIN,c,"1.259,00"
06.08.22,NETFLIX,o,"429,00"
06.08.22,EL CABILDO DE BS AS,c,"1.650,00"
06.08.22,TEMPLE,c,"2.020,00"
08.08.22,UNTERTURKHEIM,c,"4.140,00"
09.08.22,PORTERS,c,"700,00"
09.08.22,UBER,m,"490,00"
09.08.22,LE CHARCUTIER,v,"1.695,00"
09.08.22,LE CHARCUTIER,v,"1.200,00"
10.08.22,LIBRERIAOFIG,p,"220,00"
10.08.22,MC,c,"960,00"
10.08.22,MC,c,"560,00"
10.08.22,CLUB,c,"3.580,00"
12.08.22,CLUBMILANESA,c,"1.606,00"
12.08.22,MC,c,"280,00"
12.08.22,UBER,m,"500,00"
12.08.22,MC,c,"1.480,00"
13.08.22,CLUBMILANESA,c,"4.906,00"
14.08.22,COTO,v,"5.691,31"
15.08.22,COTO,v,"183,20"
18.08.22,UBER,m,"510,00"
18.08.22,UBER,m,"150,00"
18.08.22,CLUB,c,"5.520,00"
19.08.22,TACOS,c,"1.089,00"
20.08.22,COTO,v,"3.576,44"
20.08.22,PELOKITOS,p,"1.500,00"
20.08.22,TEMPLE,c,"3.120,00"
22.08.22,ELJUSTI,c,"1.600,00"
22.08.22,FARMACITY,p,"1.242,00"
22.08.22,DIA,v,"304,40"
23.08.22,LIBRERIAOFIG,p,"335,00"
23.08.22,COTO,v,"1.242,18"
24.08.22,TELEFONICA,p,"2.899,00"
24.08.22,CLUB,c,"4.120,00"
25.08.22,SUBE,m,"500,00"
25.08.22,MC,c,"560,00"
25.08.22,UBER,m,"530,00"
25.08.22,TACOS,c,"1.089,00"
25.08.22,LE BLE,c,"800,00"
25.08.22,ADELANTO,p,"5.000,00"
25.08.22,COM ADEL,p,"9,66"
26.08.22,COTO,v,"276,06"
26.08.22,LA POPULAR,c,"5.000,00"
26.08.22,CLUB,c,"1.630,00"
26.08.22,CLUB,c,"480,00"
27.08.22,COTO,v,"4.179,40"
27.08.22,MC,c,"980,00"
27.08.22,COTO,v,"1.359,13"
28.08.22,LE BLE,c,"3.300,00"
29.08.22,SUBE,m,"500,00"
29.08.22,LA NUEVA PLAZA,c,"1.800,00"
30.08.22,COTO,v,"1.261,74"
30.08.22,LE CHARCUTIER,v,"2.367,00"
31.08.22,CLUB,c,"2.860,00"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
