ID,nombre,plataforma,ano_de_lanzamiento,genero,distribuidora,ventas_na,ventas_eu,ventas_jp,ventas_otros
1,'98 Koshien,PS,1998-01-01,Sports,Magical Company,0.15,0.1,0.12,0.03
2,.hack//G.U. Vol.1//Rebirth,PS2,2006-01-01,Role-Playing,Namco Bandai Games,0.0,0.0,0.17,0.0
3,.hack//G.U. Vol.2//Reminisce,PS2,2006-01-01,Role-Playing,Namco Bandai Games,0.11,0.09,0.0,0.03
4,.hack//G.U. Vol.2//Reminisce (jp sales),PS2,2006-01-01,Role-Playing,Namco Bandai Games,0.0,0.0,0.16,0.0
5,.hack//G.U. Vol.3//Redemption,PS2,2007-01-01,Role-Playing,Namco Bandai Games,0.0,0.0,0.17,0.0
6,.hack//Infection Part 1,PS2,2002-01-01,Role-Playing,Atari,0.49,0.38,0.26,0.13
7,.hack//Link,PSP,2010-01-01,Role-Playing,Namco Bandai Games,0.0,0.0,0.14,0.0
8,.hack//Mutation Part 2,PS2,2002-01-01,Role-Playing,Atari,0.23,0.18,0.2,0.06
9,.hack//Outbreak Part 3,PS2,2002-01-01,Role-Playing,Atari,0.14,0.11,0.17,0.04
10,.hack//Quarantine Part 4: The Final Chapter,PS2,2003-01-01,Role-Playing,Atari,0.09,0.07,0.0,0.02
11,.hack: Sekai no Mukou ni + Versus,PS3,2012-01-01,Action,Namco Bandai Games,0.0,0.0,0.03,0.0
12,007 Racing,PS,2000-01-01,Racing,Electronic Arts,0.3,0.2,0.0,0.03
13,007: Quantum of Solace,PC,2008-01-01,Action,Activision,0.01,0.01,0.0,0.0
14,007: The World is not Enough,PS,2000-01-01,Action,Electronic Arts,0.51,0.35,0.0,0.06
15,007: Tomorrow Never Dies,PS,1999-01-01,Shooter,Electronic Arts,1.72,1.33,0.0,0.16
16,1 vs. 100,DS,2008-01-01,Misc,DSI Games,0.08,0.0,0.0,0.01
17,1/2 Summer +,PSP,2013-01-01,Adventure,Kaga Create,0.0,0.0,0.01,0.0
18,10 Minute Solution,Wii,2010-01-01,Sports,Activision,0.06,0.01,0.0,0.01
19,100 All-Time Favorites,DS,2009-01-01,Puzzle,Ubisoft,0.35,0.12,0.0,0.04
20,100 Classic Books,DS,2008-01-01,Misc,Nintendo,0.12,0.52,0.0,0.02
21,100 Classic Games,DS,2011-01-01,Misc,Rondomedia,0.0,0.03,0.0,0.0
