CellID	Z_universe
1942	6
1947	7
1948	48
1949	8
1950	1
1951	11
1952	4
1953	5
1954	2
1956	54
1964	32
1973	2
2029	1
2031	1
2033	12
2034	1
2036	23
2038	38
2042	16
2047	4
2085	1
2086	2
2087	7
2088	28
2090	2
2094	72
2097	2
2101	55
2107	14
2149	1
2152	2
2153	7
2154	31
2157	42
2162	8
2167	2
2178	256
2201	7
2204	2
2205	1
2207	5
2208	42
2209	2
2211	62
2213	34
2214	254
2215	4
2216	337
2230	1
2235	1
2311	13
2312	19
2313	3
2314	4
2315	16
2316	8
2317	4
2318	1
2319	5
2320	1
2321	3
2322	2
2388	132
2389	74
2408	38
2428	5
2461	91
2476	348
2509	86
2510	90
2511	45
2512	3
2530	2
2579	1
2799	1
2800	1
2801	1
2802	1
2803	1
2804	1
2819	1
2831	284
2832	274
2833	1634
2834	1532
2835	287
2836	155
2837	1705
2838	225
2839	479
2840	1032
2841	1084
2842	2448
2843	627
2844	762
2845	938
2846	1052
2847	1614
2848	544
2849	361
2850	2292
2851	451
2859	2
2937	18
2938	1
2961	128
2963	6
2964	24
2965	3
2966	33
2967	1
2968	11
2969	14
2970	4
2971	753
2974	1
2975	83
2976	3
2977	80
2978	1
2979	19
2980	1
2981	1
2982	641
2984	54
2985	14
2986	1
2987	11
2988	4
2989	16
2990	216
2991	1
2992	106
2993	35
2994	33
2997	59
3000	59
3001	1
3002	1
3003	432
3006	70
3007	12
3008	1
3009	1
3010	364
3013	12
3014	7
3015	1
3016	1
3017	15
3018	189
3019	74
3020	20
3021	21
3027	4
3029	16
3032	56
3034	12
3035	490
3037	56
3039	1
3040	1
3041	17
3042	181
3043	83
3044	16
3046	31
3051	1
3052	2
3053	1
3054	308
3056	4
3057	1
3058	1
3059	295
3061	1
3062	8
3063	143
3064	82
3065	22
3066	23
3070	1
3071	31
3072	166
3073	8
3074	46
3189	22
3190	7
3191	4
3192	5
3193	5
3199	6
3202	3
3205	1
3206	54
3207	2
3208	16
3209	97
3210	79
3246	1
3247	2
3248	2
3252	1
3253	2
3254	11
3255	14
3256	1
3257	1
3258	15
3259	10
3260	4
3261	3
3262	4
3263	2
3264	2
3265	6
3275	1
3276	1
3277	1
3278	1
3279	1
3282	1
3284	16
3285	13
3286	4
3287	28
3288	15
3290	1
3293	1
3297	16
3298	20
3299	15
3300	23
3301	12
3380	1
3388	3
3389	1
3390	1
3401	3
3402	1
3403	2
3405	1
3406	110
3407	1
3410	12
3411	17
3412	12
3413	11
3414	20
3422	1
3424	3
3425	1
3438	1
3439	3
3440	6
3441	26
3442	7
3443	2
3444	1
3445	16
3446	1
3447	36
3448	55
3449	1
3450	6
3451	5
3461	32
3473	2
3474	1
3475	2
3476	1
3477	1
3484	15
3485	2
3486	12
3487	11
3488	8
3489	6
3490	3
3491	33
3492	3
3493	21
3494	22
3495	26
3496	22
3497	4
3498	3
3499	31
3500	56
3501	4
3505	45
3506	159
3507	193
3509	130
3514	352
3515	220
3526	2
3538	10
3540	2
3541	5
3542	1
3543	5
3544	39
3545	6
3546	1
3547	9
3548	9
3549	8
3550	10
3551	14
3567	1
3568	1
3571	1
3572	1
3573	64
3574	104
3575	35
3576	7
3577	4
3578	2
3579	2
3580	9
3581	9
3596	1
3602	1
3603	2
3604	2
